"FILARE","PIANTA","X","Y","Area","Perimetro","Roughness","MISSING","LAT","LON","dist_bound","L_moran_30","L_moran_50","L_moran_30_p","L_moran_50_r","Underperc","L_moran_5","L_moran_100","Line_res","candidate","pred_mglm","pred_rdtree"
1,67,719,1695,416,85.74,0.71111,1,43.07678829,10.6950771,3.01793449545265e-07,-0.0755984458056969,-0.0651630974543293,-0.101398241690627,0.00369349961361387,0,-0.182905329796175,-0.0825881602674619,46.4569839237805,0,0,0
1,68,708,1674,446,92.669,0.65264,0,43.07679526,10.69507344,2.25742681818845e-07,-0.0356799133689008,-0.0260153889720062,0.049592547581269,-0.105529660726566,0,0.00285919554621225,-0.0322622942764285,11.0189621213559,0,0,0
1,69,697,1653,454,86.326,0.76557,0,43.07680223,10.69506978,1.49691918915497e-07,-0.0247766940458465,-0.0201471619320529,-0.107085025103523,0.0679545762997716,0,0.0621769531691887,-0.0167289840760136,-7.17139804528142,0,0,0
1,70,687,1632,392,82.669,0.72079,0,43.07680919,10.69506646,3.71612713034254e-07,-0.221543751797835,-0.162917844269685,-0.244951055093666,0.0256933384935876,0,0.286886885450021,-0.106110358190919,45.3894204835264,0,0,0
1,71,676,1611,422,86.326,0.71161,0,43.07681616,10.6950628,2.95561950130906e-07,-0.123930116380572,-0.108094756891106,-0.123320479440829,0.00629503879971843,0,0.180496000811983,-0.0545203837278414,12.204934767437,0,0,0
1,72,665,1590,396,90.326,0.60993,1,43.07682313,10.69505915,2.28409271674816e-07,-0.229335217398784,-0.190613657321404,-0.00237959378902749,-0.274116878848149,0,0.276935417025259,-0.0937868178151109,44.253560736805,0,0,0
1,73,654,1569,435,90.326,0.67,0,43.0768301,10.69505549,1.52358507190848e-07,-0.111185031135737,-0.0841067345622081,-0.00246970943698229,-0.113764071372485,0,0.125010359096816,-0.0434280727541222,15.3788940521805,0,0,0
1,74,643,1548,427,84.669,0.74849,0,43.07683706,10.69505184,8.06424876792958e-08,-0.141450078106338,-0.106643349589561,-0.197817223352455,0.0945156077243348,0,0.0778220591992795,-0.0553559683214673,30.8822213685153,0,0,0
1,75,633,1527,447,86.912,0.74364,0,43.07684403,10.69504851,2.98228535163813e-07,-0.0732544705144308,-0.0528569142908903,-0.120418999003629,0.0958371704423998,0,0.0456998545969743,-0.0258801093409029,19.3914385950217,0,0,0
1,76,622,1506,435,89.497,0.68246,0,43.076851,10.69504486,2.31075856707723e-07,-0.109042437963001,-0.0662313858068114,-0.0294725357357985,-0.0599079716597506,0,-0.00905475656865905,-0.0484478624731034,45.1913562633458,0,0,0
